Kongou (AHnA),0,1,https://i.imgur.com/wIZncl3.jpg
Winry Rockbell,0,1,https://i.imgur.com/01C9tZU.jpg
Mikasa Ackerman,0,1,https://i.imgur.com/1DB7Y1V.jpg
Asuna Yuuki,0,1,https://i.imgur.com/yXVeS4i.jpg
Kassandra,0,1,https://i.imgur.com/hlPm4QS.png
Dunkerque,0,1,https://i.imgur.com/B16e2Km.png
Rias Gremory,0,1,https://i.imgur.com/gSP0Wnc.png
2B,0,1,https://i.imgur.com/PSpE060.png
Kongou (Kancolle),0,1,https://i.imgur.com/QC6sD96.jpg
Chitanda Eru,0,1,https://i.imgur.com/ZWkecU9.png
Lily Satou,0,1,https://i.imgur.com/frWQbXq.png
Makoto Niijima,0,1,https://i.imgur.com/ZrfTDGl.png
Kyoko Kirigiri,0,1,https://i.imgur.com/GIe1dow.png
Yuno Gasai,0,1,https://i.imgur.com/o62aE0g.png
Asuka Langley Soryu,0,1,https://i.imgur.com/GXSMPOe.png
Senjougahara Hitagi,0,1,https://i.imgur.com/S7efBoC.png
Makise Kurisu,0,1,https://i.imgur.com/ZFwEPXo.png
Midna,0,1,https://i.imgur.com/fmPbdTd.png
Tsuyu Asui,0,1,https://i.imgur.com/EVO2beH.png
Rem (Re Zero),0,1,https://i.imgur.com/LTJAExY.jpg
Speedwagon,0,1,https://i.imgur.com/xil1aSL.png
Satan (Helltaker),0,1,https://i.imgur.com/VkLPCwg.png
Morag Ladair,0,1,https://i.imgur.com/M3Z3ZAo.png
Melia Antiqua,0,1,https://i.imgur.com/d181VVF.png
Fiora (Xenoblade),0,1,https://i.imgur.com/S4zj6ai.png
