Rem (Re Zero),0,1,https://i.imgur.com/LTJAExY.jpg
Shizuku Sango,0,1,https://i.imgur.com/xKA4JHa.jpg
Takanashi Rikka,0,1,https://i.imgur.com/IukdLjd.jpg
Zero Two,0,1,https://i.imgur.com/BOA2YZE.png
Rias Gremory,0,1,https://i.imgur.com/gSP0Wnc.png
Revy,0,1,https://i.imgur.com/T8t3Hoc.png
Asami Sato,0,1,https://i.imgur.com/LLNehMJ.jpg
Mikoto Kondo,0,1,https://i.imgur.com/mIC80Ck.jpg
Artoria Pendragon,0,1,https://i.imgur.com/fTCjefm.jpg
Chihiro Fujisaki,0,1,https://i.imgur.com/YKiAzDZ.png
Melia Antiqua,0,1,https://i.imgur.com/d181VVF.png
Elma (Xenoblade),0,1,https://i.imgur.com/ByEStcT.jpg
Yukinoshita Yukino,0,1,https://i.imgur.com/HBQd2UV.png
Cloud Strife,0,1,https://i.imgur.com/pSObYAi.png
Makise Kurisu,0,1,https://i.imgur.com/ZFwEPXo.png
Paya,0,1,https://i.imgur.com/rTqVZ9E.jpg
Natsuru Seno,0,1,https://i.imgur.com/3XvD8hC.jpg
Misaka Mikoto,0,1,https://i.imgur.com/YQdYQ1j.jpg
Nezuko (Demonslayer),0,1,https://i.imgur.com/IAvDweg.png
Kongou (Kancolle),0,1,https://i.imgur.com/QC6sD96.jpg
Cirilla,0,1,https://i.imgur.com/otGA5yC.png
2B,0,1,https://i.imgur.com/PSpE060.png
Kyoko Kirigiri,0,1,https://i.imgur.com/GIe1dow.png
Girahim,0,1,https://i.imgur.com/HOoGn9Z.png
Hinata Hyuga,0,1,https://i.imgur.com/JYhiOAA.jpg
